VideoID,Title,URL,Topic
hqpyL-nYv74,Introduction: Sri Daya Mata Memorial Service,https://www.youtube.com/watch?v=hqpyL-nYv74,SRF||||Memorial Service|
1PrQ25KkCdU,"“A Satguru’s Promise: ‘To Those who Think Me Near, I am Near’” (in Hindi) | By Swami Chaitanyananda",https://www.youtube.com/watch?v=1PrQ25KkCdU,YSS|Hindi||| By Swami Chaitanyananda|
zox8ZTFb6VI,“At the Feet of the Guru”— Studying the New SRF Lessons | 2020 SRF Online World Convocation,https://www.youtube.com/watch?v=zox8ZTFb6VI,SRF|||| 2020 SRF Online World Convocation|
b-LzFHT3Y2M,“Deepening Our Practice of Meditation” | A Talk by YSS Sannyasi Swami Smaranananda Giri in English,https://www.youtube.com/watch?v=b-LzFHT3Y2M,YSS|||| A Talk by YSS Sannyasi Swami Smaranananda Giri in English|
FkWBsufZvz8,“Dynamic Will Can Change Your Life” by Brother Anandamoy,https://www.youtube.com/watch?v=FkWBsufZvz8,SRF||||Brother Anandamoy|
0tBwwYPbmJ0,“Embraced in God’s Love — The Guru-Disciple Relationship” | How-to-Live Inspirational Service,https://www.youtube.com/watch?v=0tBwwYPbmJ0,SRF|||| How-to-Live Inspirational Service|
A7NX02ijXRY,“He Bhagavan”: Sankirtan Led by SRF Monks,https://www.youtube.com/watch?v=A7NX02ijXRY,SRF|Hindi||Kirtan|Kirtan|
xghFntmsTjQ,“I am castled in God’s presence…” | Brother Chidananda leads an affirmation by Yogananda,https://www.youtube.com/watch?v=xghFntmsTjQ,SRF||||Brother Chidananda|
2DldnYBZPsY,“I Am the Sky” — Devotional Singing of Paramahansa Yogananda’s Cosmic Chant by YSS Monastics,https://www.youtube.com/watch?v=2DldnYBZPsY,YSS||||Kirtan|
TMaMOBnqD_g,“I Will Be Thine Always” — Devotional Singing of Paramahansa Yogananda’s Cosmic Chant by YSS Monks,https://www.youtube.com/watch?v=TMaMOBnqD_g,YSS||||Kirtan|
Jifk7BOrObk,“Introduction to Kriya Yoga Meditation” | International Day of Yoga 2025 | Tamil,https://www.youtube.com/watch?v=Jifk7BOrObk,YSS|Tamil||| International Day of Yoga 2025 |
jMnnQAyq0Tg,“Introduction to Kriya Yoga Meditation” | International Day of Yoga 2025 | Telugu,https://www.youtube.com/watch?v=jMnnQAyq0Tg,YSS|Telugu||| International Day of Yoga 2025 |
jrBXmH1Ubhc,“Jai Guru”: Sankirtan Led by SRF Nuns,https://www.youtube.com/watch?v=jrBXmH1Ubhc,SRF|Sanskrit||Kirtan|Kirtan|
KYKcxkZzHp8,“Kriya Yoga Meditation for a Happy and Successful Life” | World Meditation Day Talk By YSS Sannyasi,https://www.youtube.com/watch?v=KYKcxkZzHp8,YSS||||YSS Sannyasi|
eFgAGes7unk,“Kriya Yoga: Portal to the Infinite” by Brother Anandamoy,https://www.youtube.com/watch?v=eFgAGes7unk,SRF||||Brother Anandamoy|
4eWwJmUvtqc,“Light the Lamp of Thy Love”: Sankirtan Led by SRF Monks,https://www.youtube.com/watch?v=4eWwJmUvtqc,SRF|English||Kirtan||
ZATgu_A52Ns,“Like the Light From Heaven” — Remembering Life With Paramahansa Yogananda | How-to-Live Talk,https://www.youtube.com/watch?v=ZATgu_A52Ns,SRF|||| How-to-Live Talk|
aPAKuaISnGA,“My Krishna is Blue” — Devotional Singing of Paramahansa Yogananda’s Cosmic Chant by YSS Monastics,https://www.youtube.com/watch?v=aPAKuaISnGA,#REF!
RGEzJoBddJg,“My Life Has Changed Dramatically Since I Started on the Spiritual Path” | SRF,https://www.youtube.com/watch?v=RGEzJoBddJg,SRF|||| SRF|
EagI2JWoc6Q,“O God Beautiful”: Sankirtan Led by SRF Nuns,https://www.youtube.com/watch?v=EagI2JWoc6Q,SRF|English||Kirtan|Kirtan|
Af7bsvHoGDw,“Relinquishing the Fruits Of Action” | A Talk in English by YSS Sannyasi Swami Smaranananda Giri,https://www.youtube.com/watch?v=Af7bsvHoGDw,YSS||||Swami Smaranananda Giri|
S90HpO5hmNw,“Satchidananda Guru”: Sankirtan Led by SRF Nuns,https://www.youtube.com/watch?v=S90HpO5hmNw,SRF|Hindi||Kirtan|Kirtan|
jYI3M4jHz6c,“Solving the Mystery of Life” — A New Book by Yogananda,https://www.youtube.com/watch?v=jYI3M4jHz6c,SRF||||Kirtan|
fB0mm0Br4TY,“Sri Guru Sharanam”: Sankirtan Led by SRF Nuns,https://www.youtube.com/watch?v=fB0mm0Br4TY,SRF|Hindi||Kirtan|Kirtan|
JKOnakggcV4,“Sundara Laalaa” by Brahmacharini Mirabai,https://www.youtube.com/watch?v=JKOnakggcV4,SRF||||Kirtan|
Sh9yejNuxcE,“The Importance of a True Guru” by Brother Anandamoy,https://www.youtube.com/watch?v=Sh9yejNuxcE,SRF||||Brother Anandamoy|
